master_sku,sku,[option](size)Sizes,[option](color)Colors,[property](material)Material,name,price,available_on,description,meta_description,meta_keywords,cost_price,quantity
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,1
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,2
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,1
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,2
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,3
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,4
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,4
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,4
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,4
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,3
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,32
STN-FW13-WAVE-SHIRT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy",100% preshrunk cotton,Classic Wave T,39.0,11/15/0013,"Double-needle stitched for durability. Soft, lightweight cotton fabric. Double needle hems. Rolled forward shoulders for better fit. Quarter-turned to eliminate center crease",,,,2
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,2
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,2
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,3
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,32
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,2
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,2
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,2
STN-FW13-WAVE-HOODIE,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","50% cotton, 50% polyester",Hooded Wave Sweatshirt,59.0,11/15/0013,"Soft, durable fleece with double-needle cover-seamed neck and armholes stays strong when you work or play hard. Machine wash it again and again without hesitation because it's pill-resistant. Ribbed waistband and cuffs and roomy front pockets. Made with up to 5% polyester created from recycled plastic bottles. Dyed-to-match drawcord.",,,,33
STN-FW13-TECH-SWEAT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","90% California Fleece cotton, 10% polyester","""GIN LANE"" / ""TECH"" Sweatshirt",69.0,11/15/0013,"Our take on the classic everyday sweatshirt. Casual and comfortable, this sweatshirt from American Apparel features raglan sleeves. Constructed of soft fleece, this sweatshirt is finished with a classic crewneck and a banded hem and cuffs.",,,,2
STN-FW13-TECH-SWEAT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","90% California Fleece cotton, 10% polyester","""GIN LANE"" / ""TECH"" Sweatshirt",69.0,11/15/0013,"Our take on the classic everyday sweatshirt. Casual and comfortable, this sweatshirt from American Apparel features raglan sleeves. Constructed of soft fleece, this sweatshirt is finished with a classic crewneck and a banded hem and cuffs.",,,,2
STN-FW13-TECH-SWEAT,,"(xl)XL,(l)L,(m)M,(s)S","(grey)Grey,(white)White,(black)Black,(navy)Navy","90% California Fleece cotton, 10% polyester","""GIN LANE"" / ""TECH"" Sweatshirt",69.0,11/15/0013,"Our take on the classic everyday sweatshirt. Casual and comfortable, this sweatshirt from American Apparel features raglan sleeves. Constructed of soft fleece, this sweatshirt is finished with a classic crewneck and a banded hem and cuffs.",,,,11
