[property]Style Number,Name,[property]Grid Order,Available On,[prototype] Category,Master SKU,Price,Material,[option](sizes)Sizes,[option](fnords)Fnords,Description
1E,Medium Script Monogram,1,6/4/2013,Necklace,2481_CUS_FINAL_GL,$110,"14K Gold-Plated Sterling Silver, Sterling Silver","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: Available in: 14kt Gold-Plated Sterling Silver or Sterling Silver
MEASUREMENTS: Length: 16"" or 18"", Pendant: 7/8""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: 4 weeks</p>"
11,Initial Charm Ring,2,6/4/2013,Ring,6752-U_CUS_FINAL_GL,$32,22k Gold-Plated Brass,"Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo, night cheeses, winter glen","<h1>SIZE & MATERIALS</h1>

<p>MATERIALS: 22kt Gold-Plated Brass
MEASUREMENTS: Width: 1mm, Charm: 0.5""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 3 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 3 weeks, even when overnight delivery is selected</p>"
7A,Block Acrylic Nameplate,3,6/4/2013,Necklace,ML_ASN_CUS_FINAL_GL,$48,"Acrylic, Gold Fill, Sterling Silver","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: Acrylic, Gold Fill, Sterling Silver
MEASUREMENTS: Length: 16"" with a 3"" extender</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 Weeks, even when overnight delivery is selected</p>"
16B,Script Nameplate Necklace,4,6/4/2013,Necklace,2474_CUS_FINAL_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: Available in: 14kt Gold-Plated Sterling Silver or Sterling Silver
MEASUREMENTS: - Length: 16"" or 18"", text height: 0.375""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: 4 weeks</p>"
1A,Large Block Monogram,5,6/4/2013,Necklace,6898_CUS_FINALSALE_GL,$120,"14K Gold-Plated Sterling Silver, Sterling Silver","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Lobster clasp
MATERIALS: 14kt gold-plated sterling silver, sterling silver
MEASUREMENTS: Pendant: 1.25""
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
13,Mini Letter Bracelet,6,6/4/2013,Bracelet,0003_MB_CUS_FINAL_GL,$185,"14k Gold, 14k White Gold","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: spring ring closure
MATERIALS: available in: 14k gold and 14k white gold
MEASUREMENTS: length available in: 6.25"" and 6.75"", letter size: .25""<p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 3 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 3 weeks</p>"
2A,Acrylic Block Monogram,7,6/4/2013,Necklace,ML_ABM_CUS_FINAL_GL,$58,"Acrylic, Gold Fill, Sterling Silver","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: Acrylic, Gold Fill, Sterling Silver
MEASUREMENTS: Note that three sizes are available: Small (1” charm on 16” chain with 3” extension), Medium (1.25” charm on 16” chain with 3” extension), and Large (1.625” charm on 16” chain with 3” extension).</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 Weeks, even when overnight delivery is selected</p>"
14,Asymmetrical Mini Letter Necklace - One Letter,8,6/4/2013,Necklace,0001_MB_CUS_FINAL_GL,$220,"14k Gold, 14k White Gold","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: spring ring closure
MATERIALS: available in: 14k gold and 14k white gold
MEASUREMENTS: length: 16"" or 18"", letter size: .25""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 3 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 3 weeks</p>"
2B,Acrylic Script Monogram,9,6/4/2013,Necklace,ML_ASM_CUS_FINAL_GL,$58,"Acrylic, Gold Fill, Sterling Silver","Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIAL</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: Acrylic, Gold Fill, Sterling Silver
MEASUREMENTS: Note that three sizes are available: Small (1” charm on 16” chain with 3” extension), Medium (1.25” charm on 16” chain with 3” extension), and Large (1.625” charm on 16” chain with 3” extension).</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 Weeks, even when overnight delivery is selected</p>"
5,Stackable Shea Initial Ring,10,6/4/2013,Ring,7311_SC_CUS_FINALSALE_GL,$69,sterling silver or yellow gold plated,"Small(S), Medium(M), Large(L), Extra Large(XL)","normal, skidoo","<h1>SIZE & MATERIALS</h1>

<p>MATERIALS: sterling silver or yellow gold plated
MEASUREMENTS: Letter (approximate): 5mm</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: Your package includes a pre-paid USPS return label so you can easily send us your return.
Delivery Detail: This item ships in 4 weeks, even if overnight delivery is selected.</p>"
